Test_image_index,predicted class
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,6
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,6
30,0
31,0
32,0
33,0
34,0
35,6
36,0
37,0
38,6
39,0
40,0
41,6
42,6
43,0
44,6
45,6
46,0
47,0
48,6
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,2
58,2
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,6
72,0
73,3
74,0
75,6
76,0
77,0
78,0
79,0
80,6
81,0
82,0
83,0
84,2
85,0
86,6
87,0
88,0
89,6
90,6
91,0
92,3
93,2
94,0
95,6
96,0
97,0
98,0
99,6
100,6
101,0
102,0
103,0
104,0
105,0
106,6
107,0
108,6
109,3
110,3
111,0
112,6
113,0
114,0
115,3
116,3
117,6
118,6
119,0
120,0
121,0
122,0
123,0
124,0
125,2
126,6
127,6
128,6
129,0
130,0
131,0
132,0
133,0
134,6
135,0
136,6
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,6
148,0
149,0
150,0
151,0
152,0
153,6
154,6
155,0
156,0
157,0
158,0
159,6
160,0
161,6
162,6
163,0
164,0
165,6
166,0
167,6
168,0
169,0
170,6
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,6
181,0
182,0
183,0
184,0
185,0
186,6
187,0
188,6
189,6
190,6
191,0
192,2
193,3
194,0
195,0
196,6
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,2
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,6
215,0
216,0
217,0
218,0
219,0
220,0
221,2
222,0
223,2
224,0
225,6
226,0
227,6
228,0
229,0
230,0
231,0
232,0
233,0
234,6
235,0
236,0
237,6
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,6
248,0
249,6
250,0
251,0
252,6
253,0
254,6
255,6
256,0
257,0
258,0
259,0
260,6
261,2
262,0
263,0
264,3
265,0
266,6
267,6
268,0
269,0
270,0
271,0
272,0
273,6
274,0
275,6
276,0
277,0
278,0
